npi,drug_name,generic_name,total_claim_count
1720076656,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,36
1710977822,EPIPEN 2-PAK,EPINEPHRINE,11
1336130020,MONTELUKAST SODIUM,MONTELUKAST SODIUM,52
1720076656,QVAR,BECLOMETHASONE DIPROPIONATE,27
1710977822,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,11
1366553273,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,30
1710977822,VENTOLIN HFA,ALBUTEROL SULFATE,19
1710977822,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,92
1720076656,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,16
1710977822,SPIRIVA,TIOTROPIUM BROMIDE,12
1720076656,SPIRIVA,TIOTROPIUM BROMIDE,12
1366553273,SPIRIVA,TIOTROPIUM BROMIDE,11
1710977822,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,41
1588711444,MONTELUKAST SODIUM,MONTELUKAST SODIUM,51
1366553273,MONTELUKAST SODIUM,MONTELUKAST SODIUM,65
1720076656,ASMANEX,MOMETASONE FUROATE,13
1710977822,LEVOCETIRIZINE DIHYDROCHLORIDE,LEVOCETIRIZINE DIHYDROCHLORIDE,22
1548201395,MONTELUKAST SODIUM,MONTELUKAST SODIUM,16
1720076656,MONTELUKAST SODIUM,MONTELUKAST SODIUM,59
1720076656,PROAIR HFA,ALBUTEROL SULFATE,20
1710977822,MONTELUKAST SODIUM,MONTELUKAST SODIUM,98
1710977822,AMOX TR-POTASSIUM CLAVULANATE,AMOXICILLIN/POTASSIUM CLAV,12
1710977822,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,35
1710977822,DULERA,MOMETASONE/FORMOTEROL,60
1720076656,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,22
1720076656,DULERA,MOMETASONE/FORMOTEROL,47
1548201395,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,21
1710977822,OMEPRAZOLE,OMEPRAZOLE,12
1588711444,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,31
1336130020,ASMANEX,MOMETASONE FUROATE,12
1720076656,NASONEX,MOMETASONE FUROATE,35
1710977822,PREDNISONE,PREDNISONE,15
1710977822,AZELASTINE HCL,AZELASTINE HCL,31
1720076656,AZITHROMYCIN,AZITHROMYCIN,14
1831145929,SUBOXONE,BUPRENORPHINE HCL/NALOXONE HCL,13
1245240308,ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,26
1831145929,OPANA ER,OXYMORPHONE HCL,89
1710963681,DIAZEPAM,DIAZEPAM,39
1831145929,METHYLPHENIDATE HCL,METHYLPHENIDATE HCL,15
1831145929,LORAZEPAM,LORAZEPAM,202
1073593315,LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,12
1831145929,FAMOTIDINE,FAMOTIDINE,12
1073593315,HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,41
1831145929,BUPROPION XL,BUPROPION HCL,21
1073593315,TRAZODONE HCL,TRAZODONE HCL,20
1710963681,OXYCODONE HCL,OXYCODONE HCL,132
1831145929,SILVER SULFADIAZINE,SILVER SULFADIAZINE,12
1174537674,FENTANYL,FENTANYL,12
1831145929,TOPIRAMATE,TOPIRAMATE,12
1912131566,HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,20
1508855149,HYDROCODONE-IBUPROFEN,HYDROCODONE/IBUPROFEN,17
1508855149,TRAMADOL HCL,TRAMADOL HCL,32
1831145929,TESTOSTERONE ENANTHATE,TESTOSTERONE ENANTHATE,13
1245240308,MORPHINE SULFATE ER,MORPHINE SULFATE,48
1073593315,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,12
1245240308,BUPRENORPHINE HCL,BUPRENORPHINE HCL,13
1245240308,ENDOCET,OXYCODONE HCL/ACETAMINOPHEN,11
1831145929,CELEBREX,CELECOXIB,47
1245240308,ONDANSETRON ODT,ONDANSETRON,12
1831145929,LUNESTA,ESZOPICLONE,13
1245240308,GABAPENTIN,GABAPENTIN,41
1831145929,LYRICA,PREGABALIN,190
1710963681,ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,22
1831145929,CITALOPRAM HBR,CITALOPRAM HYDROBROMIDE,29
1508855149,HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,75
1710963681,CYCLOBENZAPRINE HCL,CYCLOBENZAPRINE HCL,13
1831145929,SUBSYS,FENTANYL,402
1437170586,HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,23
1508855149,SUBOXONE,BUPRENORPHINE HCL/NALOXONE HCL,12
1831145929,OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,95
1710963681,LYRICA,PREGABALIN,19
1831145929,ESZOPICLONE,ESZOPICLONE,43
1831145929,LACTULOSE,LACTULOSE,21
1508855149,DULOXETINE HCL,DULOXETINE HCL,11
1508855149,CLONIDINE HCL,CLONIDINE HCL,11
1831145929,BUTORPHANOL TARTRATE,BUTORPHANOL TARTRATE,35
1508855149,OXYCODONE HCL,OXYCODONE HCL,28
1073593315,TAMSULOSIN HCL,TAMSULOSIN HCL,16
1508855149,GABAPENTIN,GABAPENTIN,127
1508855149,PROMETHAZINE HCL,PROMETHAZINE HCL,23
1710963681,BACLOFEN,BACLOFEN,13
1437163938,LYRICA,PREGABALIN,11
1710963681,DULOXETINE HCL,DULOXETINE HCL,24
1073593315,METHYLPHENIDATE HCL,METHYLPHENIDATE HCL,20
