npi,drug_name,generic_name,total_claim_count
1912904038,AZITHROMYCIN,AZITHROMYCIN,11
1003848474,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,18
1831134170,ASTEPRO,AZELASTINE HCL,13
1912904038,AZELASTINE HCL,AZELASTINE HCL,20
1831134170,PATADAY,OLOPATADINE HCL,28
1891793352,NEXIUM,ESOMEPRAZOLE MAGNESIUM,14
1861470767,ASMANEX,MOMETASONE FUROATE,13
1861470767,EPIPEN 2-PAK,EPINEPHRINE,26
1760495097,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,11
1144258120,RANITIDINE HCL,RANITIDINE HCL,13
1548353345,FLOVENT HFA,FLUTICASONE PROPIONATE,21
1912904038,ALPRAZOLAM,ALPRAZOLAM,12
1548353345,COMBIVENT RESPIMAT,IPRATROPIUM/ALBUTEROL SULFATE,17
1831134170,CLARITHROMYCIN ER,CLARITHROMYCIN,80
1861470767,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,32
1912904038,ADVAIR DISKUS,FLUTICASONE/SALMETEROL,48
1134181613,VENTOLIN HFA,ALBUTEROL SULFATE,13
1003848474,PREDNISONE,PREDNISONE,14
1861470767,PREDNISONE,PREDNISONE,42
1548353345,QVAR,BECLOMETHASONE DIPROPIONATE,15
1912904038,PREDNISONE,PREDNISONE,45
1760495097,NASONEX,MOMETASONE FUROATE,24
1548353345,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,11
1912904038,CLARITHROMYCIN,CLARITHROMYCIN,11
1861470767,SINGULAIR,MONTELUKAST SODIUM,12
1912904038,NEXIUM,ESOMEPRAZOLE MAGNESIUM,12
1760495097,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,18
1760495097,OMEPRAZOLE,OMEPRAZOLE,69
1134181613,RANITIDINE HCL,RANITIDINE HCL,20
1003848474,DALIRESP,ROFLUMILAST,11
1548353345,ADVAIR DISKUS,FLUTICASONE/SALMETEROL,22
1134181613,PATANASE,OLOPATADINE HCL,18
1144258120,LEVOCETIRIZINE DIHYDROCHLORIDE,LEVOCETIRIZINE DIHYDROCHLORIDE,14
1144258120,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,103
1861470767,PROAIR HFA,ALBUTEROL SULFATE,69
1548353345,NASONEX,MOMETASONE FUROATE,11
1548353345,OMEPRAZOLE,OMEPRAZOLE,15
1548353345,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,13
1548353345,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,12
1891793352,PATADAY,OLOPATADINE HCL,27
1861470767,AZELASTINE HCL,AZELASTINE HCL,107
1134181613,MONTELUKAST SODIUM,MONTELUKAST SODIUM,194
1831134170,METHYLPREDNISOLONE,METHYLPREDNISOLONE,95
1891793352,ADVAIR DISKUS,FLUTICASONE/SALMETEROL,13
1891793352,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,28
1861470767,PATANOL,OLOPATADINE HCL,23
1548353345,HYDROXYZINE HCL,HYDROXYZINE HCL,12
1134181613,DULERA,MOMETASONE/FORMOTEROL,13
1134181613,XOPENEX HFA,LEVALBUTEROL TARTRATE,15
1831134170,PATANASE,OLOPATADINE HCL,23
1134181613,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,110
1134181613,PATADAY,OLOPATADINE HCL,37
1831134170,PREDNISONE,PREDNISONE,77
1861470767,CYPROHEPTADINE HCL,CYPROHEPTADINE HCL,11
1891793352,PROAIR HFA,ALBUTEROL SULFATE,12
1548353345,MONTELUKAST SODIUM,MONTELUKAST SODIUM,33
1134181613,ADVAIR HFA,FLUTICASONE/SALMETEROL,12
1386727097,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM,27
1144258120,AZELASTINE HCL,AZELASTINE HCL,13
1912904038,MONTELUKAST SODIUM,MONTELUKAST SODIUM,52
1548353345,ALPRAZOLAM,ALPRAZOLAM,21
1144258120,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,36
1548353345,CEFDINIR,CEFDINIR,12
1760495097,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,100
1144258120,NEXIUM,ESOMEPRAZOLE MAGNESIUM,28
1760495097,LEVOCETIRIZINE DIHYDROCHLORIDE,LEVOCETIRIZINE DIHYDROCHLORIDE,12
1003848474,RANITIDINE HCL,RANITIDINE HCL,13
1134181613,NASONEX,MOMETASONE FUROATE,33
1831134170,QVAR,BECLOMETHASONE DIPROPIONATE,74
1912904038,AMOX TR-POTASSIUM CLAVULANATE,AMOXICILLIN/POTASSIUM CLAV,15
1386727097,DESLORATADINE,DESLORATADINE,22
1861470767,NASONEX,MOMETASONE FUROATE,52
1386727097,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,14
1003848474,MONTELUKAST SODIUM,MONTELUKAST SODIUM,57
1861470767,LEVOCETIRIZINE DIHYDROCHLORIDE,LEVOCETIRIZINE DIHYDROCHLORIDE,57
1831134170,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,98
1831134170,LEVOFLOXACIN,LEVOFLOXACIN,76
1861470767,FLOVENT HFA,FLUTICASONE PROPIONATE,39
1386727097,CEFADROXIL,CEFADROXIL,13
1548353345,ESCITALOPRAM OXALATE,ESCITALOPRAM OXALATE,11
1861470767,CEFUROXIME,CEFUROXIME AXETIL,15
1134181613,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,18
1548353345,NYSTATIN,NYSTATIN,17
1861470767,ADVAIR HFA,FLUTICASONE/SALMETEROL,31
1912904038,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,32
1144258120,DYMISTA,AZELASTINE/FLUTICASONE,11
1760495097,PATADAY,OLOPATADINE HCL,17
1760495097,QVAR,BECLOMETHASONE DIPROPIONATE,12
1912904038,NASONEX,MOMETASONE FUROATE,29
1861470767,DESLORATADINE,DESLORATADINE,11
1134181613,PREDNISONE,PREDNISONE,30
1003848474,QVAR,BECLOMETHASONE DIPROPIONATE,24
1891793352,DOXEPIN HCL,DOXEPIN HCL,16
1144258120,ADVAIR HFA,FLUTICASONE/SALMETEROL,21
1912904038,XOPENEX HFA,LEVALBUTEROL TARTRATE,12
1831134170,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,55
1831134170,PULMICORT FLEXHALER,BUDESONIDE,23
1144258120,NASONEX,MOMETASONE FUROATE,27
1891793352,LEVOCETIRIZINE DIHYDROCHLORIDE,LEVOCETIRIZINE DIHYDROCHLORIDE,14
1861470767,ALVESCO,CICLESONIDE,15
1912904038,CEFDINIR,CEFDINIR,46
1548353345,AZELASTINE HCL,AZELASTINE HCL,15
1861470767,AZITHROMYCIN,AZITHROMYCIN,11
1386727097,EPIPEN 2-PAK,EPINEPHRINE,12
1134181613,AZELASTINE HCL,AZELASTINE HCL,24
