npi,drug_name,generic_name,total_claim_count
1356415020,LISINOPRIL,LISINOPRIL,14
1578681797,LIOTHYRONINE SODIUM,LIOTHYRONINE SODIUM,11
1154356160,METHADONE HCL,METHADONE HCL,37
1013229293,TRAZODONE HCL,TRAZODONE HCL,60
1598967119,LORAZEPAM,LORAZEPAM,13
1013229293,HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,103
1013229293,FENTANYL,FENTANYL,26
1013229293,NUCYNTA ER,TAPENTADOL HCL,16
1013229293,HYDROXYZINE PAMOATE,HYDROXYZINE PAMOATE,25
1013229293,SUBOXONE,BUPRENORPHINE HCL/NALOXONE HCL,33
1013229293,METHADONE HCL,METHADONE HCL,38
1013229293,OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,21
1154356160,TOPIRAMATE,TOPIRAMATE,15
1598967119,BUPRENORPHINE-NALOXONE,BUPRENORPHINE HCL/NALOXONE HCL,23
1013229293,METHOCARBAMOL,METHOCARBAMOL,14
1154356160,ALPRAZOLAM,ALPRAZOLAM,19
1154356160,DULOXETINE HCL,DULOXETINE HCL,12
1013229293,DIAZEPAM,DIAZEPAM,45
1154356160,BUPRENORPHINE HCL,BUPRENORPHINE HCL,26
1013229293,ESCITALOPRAM OXALATE,ESCITALOPRAM OXALATE,11
1013229293,PRAZOSIN HCL,PRAZOSIN HCL,14
1598967119,BUPRENORPHINE HCL,BUPRENORPHINE HCL,30
1598967119,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,11
1154356160,OXYCONTIN,OXYCODONE HCL,29
1154356160,DOXEPIN HCL,DOXEPIN HCL,12
1598967119,ALPRAZOLAM ER,ALPRAZOLAM,13
1013229293,OXYCODONE HCL,OXYCODONE HCL,170
1154356160,ESCITALOPRAM OXALATE,ESCITALOPRAM OXALATE,14
1154356160,OXYCODONE HCL,OXYCODONE HCL,77
1013229293,BUPRENORPHINE HCL,BUPRENORPHINE HCL,86
1013229293,PROPRANOLOL HCL,PROPRANOLOL HCL,24
1154356160,GABAPENTIN,GABAPENTIN,22
1598967119,SUBOXONE,BUPRENORPHINE HCL/NALOXONE HCL,14
1154356160,CLONAZEPAM,CLONAZEPAM,18
1013229293,MORPHINE SULFATE ER,MORPHINE SULFATE,110
1154356160,CYCLOBENZAPRINE HCL,CYCLOBENZAPRINE HCL,12
1154356160,MORPHINE SULFATE ER,MORPHINE SULFATE,11
1013229293,AMITRIPTYLINE HCL,AMITRIPTYLINE HCL,11
1013229293,QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,16
1013229293,MORPHINE SULFATE,MORPHINE SULFATE,71
1154356160,HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,92
1134206329,GABAPENTIN,GABAPENTIN,13
1750453379,DYMISTA,AZELASTINE/FLUTICASONE,12
1669561841,FLUNISOLIDE,FLUNISOLIDE,14
1306041967,NASONEX,MOMETASONE FUROATE,18
1669416335,SPIRIVA,TIOTROPIUM BROMIDE,16
1750453379,PREDNISONE,PREDNISONE,23
1518037530,CLARITHROMYCIN,CLARITHROMYCIN,17
1164459327,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,13
1134206329,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,16
1114106036,ALPRAZOLAM,ALPRAZOLAM,12
1114106036,MUPIROCIN,MUPIROCIN,16
1669416335,QVAR,BECLOMETHASONE DIPROPIONATE,25
1255315834,AZELASTINE HCL,AZELASTINE HCL,15
1518037530,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,73
1518037530,CIPROFLOXACIN HCL,CIPROFLOXACIN HCL,35
1689681439,ADVAIR DISKUS,FLUTICASONE/SALMETEROL,77
1134206329,ADVAIR DISKUS,FLUTICASONE/SALMETEROL,19
1750453379,LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,21
1669561841,ADVAIR HFA,FLUTICASONE/SALMETEROL,45
1255315834,OMEPRAZOLE,OMEPRAZOLE,13
1255315834,PATANOL,OLOPATADINE HCL,11
1164459327,RANITIDINE HCL,RANITIDINE HCL,19
1003859059,PREDNISONE,PREDNISONE,23
1114106036,PULMICORT FLEXHALER,BUDESONIDE,47
1750453379,MONTELUKAST SODIUM,MONTELUKAST SODIUM,76
1255315834,FLUNISOLIDE,FLUNISOLIDE,11
1669561841,RANITIDINE HCL,RANITIDINE HCL,70
1689681439,PROAIR HFA,ALBUTEROL SULFATE,16
1013911924,PROAIR HFA,ALBUTEROL SULFATE,32
1669561841,LEVOCETIRIZINE DIHYDROCHLORIDE,LEVOCETIRIZINE DIHYDROCHLORIDE,219
1114106036,PREDNISONE,PREDNISONE,42
1134206329,FLOVENT HFA,FLUTICASONE PROPIONATE,22
1134206329,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,26
1114106036,AZELASTINE HCL,AZELASTINE HCL,23
1013911924,AZELASTINE HCL,AZELASTINE HCL,123
1669561841,PREDNISONE,PREDNISONE,75
1134206329,OMEPRAZOLE,OMEPRAZOLE,18
1003859059,LEVOCETIRIZINE DIHYDROCHLORIDE,LEVOCETIRIZINE DIHYDROCHLORIDE,51
1255315834,AZITHROMYCIN,AZITHROMYCIN,21
1669416335,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,26
1518037530,VENTOLIN HFA,ALBUTEROL SULFATE,36
1306041967,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,75
1669416335,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,19
1750453379,SPIRIVA,TIOTROPIUM BROMIDE,30
1013911924,MONTELUKAST SODIUM,MONTELUKAST SODIUM,39
1164459327,SIMVASTATIN,SIMVASTATIN,16
1689681439,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,23
1134206329,SYNTHROID,LEVOTHYROXINE SODIUM,12
1669561841,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,60
1013911924,DULERA,MOMETASONE/FORMOTEROL,22
1306041967,VERAMYST,FLUTICASONE FUROATE,12
1689681439,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,103
1114106036,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,14
1518037530,NASONEX,MOMETASONE FUROATE,45
1013911924,PREDNISONE,PREDNISONE,30
1518037530,AMOX TR-POTASSIUM CLAVULANATE,AMOXICILLIN/POTASSIUM CLAV,16
1689681439,DESLORATADINE,DESLORATADINE,16
1225008303,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,12
1114106036,NASONEX,MOMETASONE FUROATE,118
1689681439,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,22
1134206329,PREDNISONE,PREDNISONE,79
1134206329,SPIRIVA,TIOTROPIUM BROMIDE,41
1114106036,SPIRIVA,TIOTROPIUM BROMIDE,65
