npi,drug_name,generic_name,total_claim_count
1619009719,ESTRADIOL,ESTRADIOL,12
1073605200,NASONEX,MOMETASONE FUROATE,12
1235194200,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,19
1073605200,VENTOLIN HFA,ALBUTEROL SULFATE,17
1407959489,LEVOCETIRIZINE DIHYDROCHLORIDE,LEVOCETIRIZINE DIHYDROCHLORIDE,33
1639170525,DULERA,MOMETASONE/FORMOTEROL,17
1184761454,VENTOLIN HFA,ALBUTEROL SULFATE,15
1407959489,SPIRIVA,TIOTROPIUM BROMIDE,13
1235194200,VENTOLIN HFA,ALBUTEROL SULFATE,19
1720083173,MONTELUKAST SODIUM,MONTELUKAST SODIUM,34
1184761454,DULERA,MOMETASONE/FORMOTEROL,21
1639170525,PATADAY,OLOPATADINE HCL,20
1073605200,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,12
1235194200,NASONEX,MOMETASONE FUROATE,25
1407959489,FLOVENT HFA,FLUTICASONE PROPIONATE,54
1184761454,DOXEPIN HCL,DOXEPIN HCL,13
1235194200,LEVOCETIRIZINE DIHYDROCHLORIDE,LEVOCETIRIZINE DIHYDROCHLORIDE,41
1073605200,ADVAIR HFA,FLUTICASONE/SALMETEROL,12
1407959489,FAMOTIDINE,FAMOTIDINE,12
1407959489,PREDNISONE,PREDNISONE,15
1407959489,PATANOL,OLOPATADINE HCL,13
1407959489,PROAIR HFA,ALBUTEROL SULFATE,30
1639170525,MONTELUKAST SODIUM,MONTELUKAST SODIUM,89
1184761454,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,47
1407959489,AZELASTINE HCL,AZELASTINE HCL,13
1235194200,QVAR,BECLOMETHASONE DIPROPIONATE,27
1407959489,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,14
1407959489,DOXYCYCLINE MONOHYDRATE,DOXYCYCLINE MONOHYDRATE,15
1407959489,MONTELUKAST SODIUM,MONTELUKAST SODIUM,295
1184761454,QVAR,BECLOMETHASONE DIPROPIONATE,42
1407959489,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,166
1407959489,DOXEPIN HCL,DOXEPIN HCL,11
1720083173,ASTEPRO,AZELASTINE HCL,12
1639170525,EPIPEN 2-PAK,EPINEPHRINE,11
1235194200,PREDNISONE,PREDNISONE,23
1720083173,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,26
1639170525,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,33
1073605200,ASTEPRO,AZELASTINE HCL,14
1073605200,ADVAIR DISKUS,FLUTICASONE/SALMETEROL,52
1639170525,PREDNISONE,PREDNISONE,12
1407959489,FLUCONAZOLE,FLUCONAZOLE,12
1073605200,MONTELUKAST SODIUM,MONTELUKAST SODIUM,24
1407959489,HYDROXYZINE HCL,HYDROXYZINE HCL,18
1184761454,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,53
1235194200,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,48
1407959489,NASONEX,MOMETASONE FUROATE,30
1184761454,LEVOCETIRIZINE DIHYDROCHLORIDE,LEVOCETIRIZINE DIHYDROCHLORIDE,22
