npi,drug_name,generic_name,total_claim_count
1548244288,MONTELUKAST SODIUM,MONTELUKAST SODIUM,22
1134231749,SIMVASTATIN,SIMVASTATIN,12
1962457598,QVAR,BECLOMETHASONE DIPROPIONATE,11
1700837259,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,47
1134231749,RHINOCORT AQUA,BUDESONIDE,11
1134231749,ELIQUIS,APIXABAN,12
1215036199,THEOPHYLLINE,THEOPHYLLINE ANHYDROUS,13
1134231749,NIFEDIPINE ER,NIFEDIPINE,12
1306040134,ZETONNA,CICLESONIDE,15
1134231749,METOPROLOL TARTRATE,METOPROLOL TARTRATE,13
1548244288,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,12
1134231749,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,34
1306040134,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,17
1134231749,PREDNISONE,PREDNISONE,20
1134231749,XOLAIR,OMALIZUMAB,11
1700837259,ADVAIR DISKUS,FLUTICASONE/SALMETEROL,14
1134231749,METFORMIN HCL,METFORMIN HCL,34
1700837259,PATADAY,OLOPATADINE HCL,15
1962457598,MONTELUKAST SODIUM,MONTELUKAST SODIUM,45
1134231749,METHYLPREDNISOLONE,METHYLPREDNISOLONE,23
1700837259,MONTELUKAST SODIUM,MONTELUKAST SODIUM,43
1962457598,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,52
1962457598,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,21
1306040134,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,25
1134231749,QVAR,BECLOMETHASONE DIPROPIONATE,16
1134231749,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,28
1306040134,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,15
1700837259,NASONEX,MOMETASONE FUROATE,22
1215036199,MONTELUKAST SODIUM,MONTELUKAST SODIUM,21
1134231749,BUTALBITAL-ACETAMINOPHEN-CAFFE,BUTALB/ACETAMINOPHEN/CAFFEINE,16
1700837259,ASMANEX,MOMETASONE FUROATE,11
1134231749,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,11
1700837259,RANITIDINE HCL,RANITIDINE HCL,17
1700837259,OMEPRAZOLE,OMEPRAZOLE,38
1134231749,OMNARIS,CICLESONIDE,11
1134231749,OMEPRAZOLE,OMEPRAZOLE,25
1215036199,PREDNISONE,PREDNISONE,13
1215036199,FLOVENT HFA,FLUTICASONE PROPIONATE,50
1306040134,PATADAY,OLOPATADINE HCL,19
1962457598,ADVAIR HFA,FLUTICASONE/SALMETEROL,11
1134231749,NASONEX,MOMETASONE FUROATE,12
1134231749,LISINOPRIL,LISINOPRIL,24
1134231749,BUMETANIDE,BUMETANIDE,12
1134231749,CLOPIDOGREL,CLOPIDOGREL BISULFATE,12
1134231749,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,47
1215036199,ADVAIR DISKUS,FLUTICASONE/SALMETEROL,62
1700837259,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,24
1962457598,SPIRIVA,TIOTROPIUM BROMIDE,22
1134231749,HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,24
1306040134,MONTELUKAST SODIUM,MONTELUKAST SODIUM,17
1962457598,FLOVENT HFA,FLUTICASONE PROPIONATE,18
1134231749,CITALOPRAM HBR,CITALOPRAM HYDROBROMIDE,11
1134231749,MONTELUKAST SODIUM,MONTELUKAST SODIUM,95
1134231749,GLIPIZIDE XL,GLIPIZIDE,14
1700837259,DOXEPIN HCL,DOXEPIN HCL,18
1215036199,PROAIR HFA,ALBUTEROL SULFATE,49
1962457598,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,26
1215036199,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,105
1134231749,GLYBURIDE,GLYBURIDE,11
1700837259,FLUNISOLIDE,FLUNISOLIDE,11
1134231749,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,20
1134231749,DULERA,MOMETASONE/FORMOTEROL,12
1548244288,AZELASTINE HCL,AZELASTINE HCL,25
1134231749,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,27
1134231749,LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,11
1053422097,GABAPENTIN,GABAPENTIN,281
1053422097,PIROXICAM,PIROXICAM,12
1083702427,HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,15
1053422097,TRAMADOL HCL,TRAMADOL HCL,101
1053422097,DIAZEPAM,DIAZEPAM,24
1053422097,CYCLOBENZAPRINE HCL,CYCLOBENZAPRINE HCL,57
1053422097,PROPRANOLOL HCL ER,PROPRANOLOL HCL,13
1083702427,TRAMADOL HCL,TRAMADOL HCL,17
1083702427,OXYCONTIN,OXYCODONE HCL,16
1053422097,LIDODERM,LIDOCAINE,17
1962555847,TRAMADOL HCL,TRAMADOL HCL,27
1053422097,HYDROMORPHONE HCL,HYDROMORPHONE HCL,59
1053422097,ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,33
1053422097,DULOXETINE HCL,DULOXETINE HCL,105
1053422097,TRAMADOL HCL ER,TRAMADOL HCL,25
1053422097,TIZANIDINE HCL,TIZANIDINE HCL,108
1962555847,HYDROMORPHONE HCL,HYDROMORPHONE HCL,15
1053422097,NORTRIPTYLINE HCL,NORTRIPTYLINE HCL,36
1932262474,MORPHINE SULFATE ER,MORPHINE SULFATE,17
1053422097,RIZATRIPTAN,RIZATRIPTAN BENZOATE,31
1053422097,CELEBREX,CELECOXIB,19
1932262474,OXYCONTIN,OXYCODONE HCL,36
1053422097,ENDOCET,OXYCODONE HCL/ACETAMINOPHEN,12
1083702427,FENTANYL,FENTANYL,20
1083702427,MORPHINE SULFATE ER,MORPHINE SULFATE,12
1932262474,DIAZEPAM,DIAZEPAM,36
1083702427,OXYCODONE HCL,OXYCODONE HCL,12
1053422097,HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,222
1053422097,LYRICA,PREGABALIN,99
1295959823,CEPHALEXIN,CEPHALEXIN,12
1962555847,LYRICA,PREGABALIN,16
1932262474,OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,16
1083702427,MELOXICAM,MELOXICAM,14
1962555847,DULOXETINE HCL,DULOXETINE HCL,12
1053422097,OMEPRAZOLE,OMEPRAZOLE,13
1295959823,TRAMADOL HCL,TRAMADOL HCL,16
1932262474,OXYCODONE HCL,OXYCODONE HCL,63
1962555847,HYDROCODONE-IBUPROFEN,HYDROCODONE/IBUPROFEN,14
1083702427,LYRICA,PREGABALIN,14
1962555847,ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,17
1053422097,AMITRIPTYLINE HCL,AMITRIPTYLINE HCL,19
1053422097,OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,205
1053422097,MORPHINE SULFATE,MORPHINE SULFATE,29
1083702427,GABAPENTIN,GABAPENTIN,22
1053422097,OXYCONTIN,OXYCODONE HCL,91
1053422097,CLONIDINE HCL,CLONIDINE HCL,20
1053422097,FENTANYL,FENTANYL,209
1295959823,HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,50
1053422097,HYDROXYZINE PAMOATE,HYDROXYZINE PAMOATE,24
1295959823,OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,13
1053422097,BUTRANS,BUPRENORPHINE,12
