npi,drug_name,generic_name,total_claim_count
1538113337,QVAR,BECLOMETHASONE DIPROPIONATE,16
1982654869,PREDNISONE,PREDNISONE,59
1982654869,PATADAY,OLOPATADINE HCL,18
1982654869,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,75
1639161813,MONTELUKAST SODIUM,MONTELUKAST SODIUM,19
1538113337,FLOVENT HFA,FLUTICASONE PROPIONATE,20
1639161813,ZAFIRLUKAST,ZAFIRLUKAST,12
1982654869,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,236
1578595096,METHOTREXATE,METHOTREXATE SODIUM,13
1982654869,NASONEX,MOMETASONE FUROATE,65
1578595096,SUCRALFATE,SUCRALFATE,17
1578595096,AMOX TR-POTASSIUM CLAVULANATE,AMOXICILLIN/POTASSIUM CLAV,20
1578595096,SPIRIVA,TIOTROPIUM BROMIDE,79
1578595096,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,41
1538113337,PREDNISONE,PREDNISONE,49
1982654869,ADVAIR DISKUS,FLUTICASONE/SALMETEROL,160
1578595096,LANSOPRAZOLE,LANSOPRAZOLE,14
1538113337,MONTELUKAST SODIUM,MONTELUKAST SODIUM,125
1336196724,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,135
1639161813,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,93
1538113337,PROAIR HFA,ALBUTEROL SULFATE,62
1336196724,OMEPRAZOLE,OMEPRAZOLE,29
1982654869,CEFUROXIME,CEFUROXIME AXETIL,12
1982654869,SPIRIVA,TIOTROPIUM BROMIDE,11
1336196724,AZELASTINE HCL,AZELASTINE HCL,16
1578595096,THEOPHYLLINE ANHYDROUS,THEOPHYLLINE ANHYDROUS,17
1578595096,VENTOLIN HFA,ALBUTEROL SULFATE,15
1578595096,PREDNISONE,PREDNISONE,103
1639161813,DANAZOL,DANAZOL,12
1538113337,ASMANEX,MOMETASONE FUROATE,27
1538113337,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,185
