npi,drug_name,generic_name,total_claim_count
1497828859,HYDROMORPHONE HCL,HYDROMORPHONE HCL,13
1497828859,OXYCODONE HCL,OXYCODONE HCL,219
1497828859,SUBOXONE,BUPRENORPHINE HCL/NALOXONE HCL,226
1497828859,MORPHINE SULFATE ER,MORPHINE SULFATE,47
1497828859,OXYCONTIN,OXYCODONE HCL,74
1497828859,BUPRENORPHINE HCL,BUPRENORPHINE HCL,117
1497828859,VENLAFAXINE HCL ER,VENLAFAXINE HCL,20
1497828859,HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,11
1497828859,DULOXETINE HCL,DULOXETINE HCL,13
1497828859,FENTANYL,FENTANYL,22
1497828859,METHYLPHENIDATE HCL,METHYLPHENIDATE HCL,53
1497828859,GABAPENTIN,GABAPENTIN,26
1497828859,METHADONE HCL,METHADONE HCL,154
1497828859,MIRTAZAPINE,MIRTAZAPINE,11
1497828859,IBUPROFEN,IBUPROFEN,19
1497828859,BUPROPION HCL SR,BUPROPION HCL,18
1497828859,AMITRIPTYLINE HCL,AMITRIPTYLINE HCL,16
1497828859,BUPRENORPHINE-NALOXONE,BUPRENORPHINE HCL/NALOXONE HCL,99
1497828859,CLONAZEPAM,CLONAZEPAM,39
1124023577,ADVAIR HFA,FLUTICASONE/SALMETEROL,15
1083619431,ASMANEX,MOMETASONE FUROATE,12
1417916545,DULERA,MOMETASONE/FORMOTEROL,11
1083619431,DOXEPIN HCL,DOXEPIN HCL,25
1083619431,ADVAIR HFA,FLUTICASONE/SALMETEROL,20
1083619431,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,172
1083619431,SPIRIVA,TIOTROPIUM BROMIDE,110
1124023577,ADVAIR DISKUS,FLUTICASONE/SALMETEROL,13
1083619431,DULERA,MOMETASONE/FORMOTEROL,62
1083619431,FAMOTIDINE,FAMOTIDINE,30
1083619431,AZELASTINE HCL,AZELASTINE HCL,25
1477598738,NASONEX,MOMETASONE FUROATE,16
1477598738,DOXEPIN HCL,DOXEPIN HCL,12
1083619431,DYMISTA,AZELASTINE/FLUTICASONE,14
1083619431,NASONEX,MOMETASONE FUROATE,29
1417916545,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,17
1083619431,PROAIR HFA,ALBUTEROL SULFATE,39
1417916545,ADVAIR DISKUS,FLUTICASONE/SALMETEROL,29
1083619431,ZYFLO CR,ZILEUTON,13
1083619431,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,213
1124023577,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,16
1083619431,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM,66
1083619431,ADVAIR DISKUS,FLUTICASONE/SALMETEROL,58
1477598738,MONTELUKAST SODIUM,MONTELUKAST SODIUM,60
1083619431,MONTELUKAST SODIUM,MONTELUKAST SODIUM,259
1417916545,NASONEX,MOMETASONE FUROATE,16
1417916545,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,19
1083619431,PREDNISONE,PREDNISONE,66
1083619431,OMEPRAZOLE,OMEPRAZOLE,25
1083619431,DEXILANT,DEXLANSOPRAZOLE,11
1083619431,FLOVENT HFA,FLUTICASONE PROPIONATE,27
