npi,drug_name,generic_name,total_claim_count
1831171891,LEVOCETIRIZINE DIHYDROCHLORIDE,LEVOCETIRIZINE DIHYDROCHLORIDE,36
1831171891,QVAR,BECLOMETHASONE DIPROPIONATE,32
1831171891,MONTELUKAST SODIUM,MONTELUKAST SODIUM,623
1831171891,THEOPHYLLINE ANHYDROUS,THEOPHYLLINE ANHYDROUS,24
1831171891,ASMANEX,MOMETASONE FUROATE,41
1831171891,SPIRIVA,TIOTROPIUM BROMIDE,39
1831171891,ADVAIR HFA,FLUTICASONE/SALMETEROL,51
1831171891,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,38
1831171891,PROAIR HFA,ALBUTEROL SULFATE,57
1831171891,SYMBICORT,BUDESONIDE/FORMOTEROL FUMARATE,36
1831171891,PATADAY,OLOPATADINE HCL,25
1831171891,HYDROCORTISONE,HYDROCORTISONE,11
1831171891,ADVAIR DISKUS,FLUTICASONE/SALMETEROL,57
1831171891,PREDNISONE,PREDNISONE,29
1831171891,AZELASTINE HCL,AZELASTINE HCL,13
1831171891,HYDROXYZINE HCL,HYDROXYZINE HCL,22
1831171891,AZITHROMYCIN,AZITHROMYCIN,12
1831171891,NASONEX,MOMETASONE FUROATE,56
1831171891,FLOVENT HFA,FLUTICASONE PROPIONATE,112
1831171891,VENTOLIN HFA,ALBUTEROL SULFATE,17
1831171891,PATANOL,OLOPATADINE HCL,29
1831171891,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,19
1831171891,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,228
1831171891,DULERA,MOMETASONE/FORMOTEROL,15
1831171891,AMOX TR-POTASSIUM CLAVULANATE,AMOXICILLIN/POTASSIUM CLAV,13
1659359610,FENTANYL,FENTANYL,15
1659359610,GABAPENTIN,GABAPENTIN,102
1831241983,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,11
1659359610,TIZANIDINE HCL,TIZANIDINE HCL,14
1639203664,FENTANYL,FENTANYL,19
1659359610,MORPHINE SULFATE ER,MORPHINE SULFATE,27
1699877225,VIVELLE-DOT,ESTRADIOL,13
1659359610,OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,48
1659359610,BACLOFEN,BACLOFEN,11
1639203664,CYCLOBENZAPRINE HCL,CYCLOBENZAPRINE HCL,12
1659359610,OXYCODONE HCL,OXYCODONE HCL,24
1659359610,ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,16
1639203664,BACLOFEN,BACLOFEN,11
1639203664,OXYCONTIN,OXYCODONE HCL,21
1659359610,ALPRAZOLAM,ALPRAZOLAM,19
1659359610,TRAMADOL HCL,TRAMADOL HCL,57
1639203664,HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,37
1659359610,HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,123
1639203664,AMITRIPTYLINE HCL,AMITRIPTYLINE HCL,14
1639203664,OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,39
1639203664,MORPHINE SULFATE ER,MORPHINE SULFATE,50
1639203664,GABAPENTIN,GABAPENTIN,38
1659359610,MELOXICAM,MELOXICAM,14
1831241983,HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,14
1659359610,DIAZEPAM,DIAZEPAM,11
1831241983,METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,12
1639203664,OXYCODONE HCL,OXYCODONE HCL,52
1023084605,LISINOPRIL,LISINOPRIL,12
1023084605,CEPHALEXIN,CEPHALEXIN,17
1043292063,CHLORHEXIDINE GLUCONATE,CHLORHEXIDINE GLUCONATE,15
1023084605,CLOPIDOGREL,CLOPIDOGREL BISULFATE,46
1043292063,METOPROLOL TARTRATE,METOPROLOL TARTRATE,11
1023084605,WARFARIN SODIUM,WARFARIN SODIUM,38
1538106554,TAZTIA XT,DILTIAZEM HCL,11
1669409678,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,106
1720296940,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,64
1497792402,SOTALOL AF,SOTALOL HCL,34
1619903705,PRADAXA,DABIGATRAN ETEXILATE MESYLATE,25
1982729802,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,123
1811974207,BYSTOLIC,NEBIVOLOL HCL,34
1215189634,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,31
1982729802,HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,44
1134449192,NIACIN ER,NIACIN,11
1619903705,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,49
1497792402,XARELTO,RIVAROXABAN,24
1619903705,DIGOXIN,DIGOXIN,25
1720296940,RAMIPRIL,RAMIPRIL,11
1821041740,SPIRONOLACTONE-HCTZ,SPIRONOLACT/HYDROCHLOROTHIAZID,37
1619903705,ZETIA,EZETIMIBE,18
1891748703,SOTALOL,SOTALOL HCL,28
1962660423,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,58
1982729802,LISINOPRIL,LISINOPRIL,134
1538106554,ISOSORBIDE MONONITRATE ER,ISOSORBIDE MONONITRATE,72
1386614113,WARFARIN SODIUM,WARFARIN SODIUM,17
1497792402,DILTIAZEM 24HR CD,DILTIAZEM HCL,20
1760429799,CRESTOR,ROSUVASTATIN CALCIUM,33
1669409678,DIGOXIN,DIGOXIN,44
1669409678,BYSTOLIC,NEBIVOLOL HCL,249
1437311222,LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,31
1891748703,DIGOXIN,DIGOXIN,34
1982729802,SOTALOL,SOTALOL HCL,25
1760429799,SIMVASTATIN,SIMVASTATIN,102
1497792402,SPIRONOLACTONE,SPIRONOLACTONE,25
1821041740,CLOPIDOGREL,CLOPIDOGREL BISULFATE,111
1538106554,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,25
1669409678,SPIRONOLACTONE,SPIRONOLACTONE,101
1619903705,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM,15
1811974207,SIMVASTATIN,SIMVASTATIN,48
1215189634,LISINOPRIL-HYDROCHLOROTHIAZIDE,LISINOPRIL/HYDROCHLOROTHIAZIDE,30
1538106554,SPIRONOLACTONE,SPIRONOLACTONE,64
1134449192,LISINOPRIL,LISINOPRIL,85
1760429799,TIKOSYN,DOFETILIDE,51
1811974207,WARFARIN SODIUM,WARFARIN SODIUM,71
1821041740,LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,106
1538106554,FLECAINIDE ACETATE,FLECAINIDE ACETATE,14
1215189634,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,173
1497792402,CARTIA XT,DILTIAZEM HCL,15
1891748703,WARFARIN SODIUM,WARFARIN SODIUM,85
1962660423,KLOR-CON M10,POTASSIUM CHLORIDE,13
1720296940,DOXAZOSIN MESYLATE,DOXAZOSIN MESYLATE,15
1669409678,DIGOX,DIGOXIN,56
1538106554,DILTIAZEM ER,DILTIAZEM HCL,23
1215189634,CRESTOR,ROSUVASTATIN CALCIUM,34
1891748703,METOPROLOL TARTRATE,METOPROLOL TARTRATE,167
1821041740,PRADAXA,DABIGATRAN ETEXILATE MESYLATE,12
1982729802,CRESTOR,ROSUVASTATIN CALCIUM,69
1720296940,CRESTOR,ROSUVASTATIN CALCIUM,15
1215189634,DILTIAZEM 24HR CD,DILTIAZEM HCL,13
1720296940,PRADAXA,DABIGATRAN ETEXILATE MESYLATE,48
